order,id,title,year,tier,domains,stack,connections,image,hasProjectPage,summary
1,tebr,TEBR,2024–26,lead,sound|systems|code,Sound|Systems|Code,fictive-environments|space-time-tuning-machine,/images/atlas/tebr-violin-waveform.webp,yes,"The project converts machine failure, archive residue, and cultural specificity into a deliberate compositional territory rather than a problem to be corrected away."
2,mashrou-leila,MASHROU' LEILA,2008–22,lead,sound|image|space|systems,Sound|Image|Space,rolling-stone-cover|ibn-el-leil-album,/images/atlas/mashrou-leila-baalbeck-roman-ruins.webp,yes,"Mashrou’ Leila is the clearest proof that the practice can operate simultaneously at the scale of art, institution, and geopolitical pressure."
3,fictive-environments,Fictive Environments,2025–26,lead,space|code|text,Space|Code|Text,mekena-nyc|lede-nyc|new-york-voices|people-like-us-podcast,/images/atlas/fictive-environments-studio-identity.webp,no,"Primary solo studio identity and ""operating system."""
4,mekena-nyc,MEKENA NYC,2025–26,lead,space|systems,Space|Systems,fictive-environments,/images/atlas/mekena-nyc-queens-exterior.webp,yes,MEKENA makes the spatial argument explicit: the same systems thinking driving the software and performance work can operate at the scale of an actual building.
5,sometimes-i-wake-up-elsewhere,SOMETIMES I WAKE UP ELSEWHERE,2025–26,lead,text|code|systems,Text|Code|Systems,cartography-of-absence,/images/atlas/siwue-manuscript-fragment.webp,yes,SIWUE is one of the clearest examples of literary logic translated into software architecture without losing emotional force.
6,localization-gap,The Localization Gap,2024,lead,code|systems,Code|Systems,hah-was|frank,/images/atlas/localization-gap-maqam-spectrogram.webp,no,Forensic AI audit of cultural and linguistic bias.
7,cost-of-being-queer-and-arab,THE COST OF BEING QUEER AND ARAB,2020,lead,text|image|systems,Text|Image|Systems,mashrou-leila,/images/atlas/cost-of-being-queer-arab-nyt.webp,no,"This press node tracks the public argument around the band once visibility, censorship, and personal risk became impossible to separate."
8,cartography-of-absence,THE CARTOGRAPHY OF ABSENCE,2024,lead,text|systems,Text|Systems,walaw-manifesto,/images/atlas/cartography-of-absence-bureaucratic-form.webp,yes,The Cartography of Absence is one of the cleanest textual statements of the practice’s broader method: structural form carrying the emotional and political argument.
9,crane-song,The Crane Song,2020,lead,text|sound,Text|Sound,variations-on-cranes,/images/atlas/crane-song-sarkis-ai-bird.webp,no,Literary fiction and multimedia performance piece.
10,427-ai-tracks-archive,427 AI Tracks Archive,2024,lead,sound|code,Sound|Code,tebr|meaning-stack,/images/atlas/427-tracks-notion-taxonomy.webp,no,Repository of generative audio experiments.
11,meaning-stack,The Meaning Stack,2025,lead,code,Code,systems-choreography,/images/atlas/meaning-stack-github-constellation.webp,no,Technical framework for cross-disciplinary logic.
12,systems-choreography,Systems Choreography,2024,lead,code|space,Code|Space,fictive-environments,/images/atlas/systems-choreography-diagram.webp,no,Core methodology at the intersection of code/sound.
13,rolling-stone-cover,ROLLING STONE MIDDLE EAST COVER,2017,lead,image|systems,Image|Systems,mashrou-leila,/images/atlas/rolling-stone-mena-cover-mashrou.webp,no,The Rolling Stone Middle East cover formalized the band's crossover into a broader regional and international media imaginary.
14,lede-nyc,Lede.nyc,2026,lead,code|text,Code|Text,fictive-environments,/images/atlas/lede-nyc-civic-intelligence-ui.webp,no,Digital identity and domain project for New York.
15,sophies-world,Sophie’s World,2012,secondary,image|code,Image|Code,architecture-in-low-res,/images/atlas/sophies-world-film-still.webp,no,Early AI short film; Bartlett dissertation companion.
16,architecture-in-low-res,ARCHITECTURE IN LOW RES,2015,secondary,space|image|text,Space|Image|Text,sophies-world,/images/atlas/architecture-low-res-thesis-render.webp,yes,"This thesis is the seed crystal for much of the later work: once you see how consistent the lineage is, the portfolio stops looking eclectic and starts looking precise."
17,b018-nightclub,B018 Nightclub,2008,secondary,space,Space,plot-house,/images/atlas/b018-nightclub-dw5-interior.webp,no,Architectural work (DW5) on iconic Beirut club.
18,the-labyrinth,The Labyrinth,2024,secondary,text|image,Text|Image,the-annex,/images/atlas/the-labyrinth-sayat-nova-script.webp,no,Recursive novel/script involving Sayat Nova.
19,the-annex,The Annex,2024,secondary,space|text,Space|Text,the-labyrinth,/images/atlas/the-annex-stage-design-script.webp,no,Stage design script exploring memory space.
20,vessel-orchestra,Vessel Orchestra,2019,secondary,sound|space,Sound|Space,mashrou-leila,/images/atlas/vessel-orchestra-met-performance.webp,no,Performance at The Met using artifacts.
21,space-time-tuning-machine,SPACE TIME TUNING MACHINE,2021,secondary,sound|space|systems,Sound|Space|Systems,tebr|derive,/images/atlas/sttm-broad-museum-installation.webp,yes,"STTM reframes the instrument as a diegetic prototype from a future that has not arrived yet, and the performer as a conductor inside a dialogic system."
22,yo-yo-ma-collaboration,Yo-Yo Ma Collaboration,2021,secondary,sound,Sound,mashrou-leila,/images/atlas/yo-yo-ma-byblos-performance.webp,no,Performance in Byblos; synthesis of cello/voice.
23,ibn-el-leil-album,IBN EL LEIL,2015,secondary,sound|image,Sound|Image,raasuk-album,/images/atlas/ibn-el-leil-album-cover-full.webp,no,"Ibn El Leil distilled Beirut nightlife, risk, and queer futurity into the band's most internationally legible full-length release."
24,raasuk-album,RAASUK,2013,secondary,sound|image,Sound|Image,el-hal-romancy,/images/atlas/raasuk-album-cover.webp,no,"Raasuk marks the moment the band's visual and sonic language became unmistakably iconic: direct, synthetic, theatrical, and politically alert."
25,el-hal-romancy,EL HAL ROMANCY,2011,secondary,sound|image,Sound|Image,mashrou-leila,/images/atlas/el-hal-romancy-album.webp,no,El Hal Romancy pushed the early Mashrou' Leila world into a richer narrative and visual mythology while the audience around the band was rapidly expanding.
26,plot-house,Plot House,2009,secondary,space,Space,b018-nightclub,/images/atlas/plot-house-beirut-dw5.webp,no,Residential architectural project in Beirut (DW5).
27,frank,FRANK,2026,secondary,code|systems,Code|Systems,localization-gap,/images/atlas/frank-bias-detection-ui.webp,no,News analysis application for bias detection.
28,sunburn,SUNBURN,2026,secondary,sound|space,Sound|Space,systems-choreography,/images/atlas/sunburn-weather-sonification.webp,no,Climate data sonification installation.
29,post-apocalyptic-walking-tour,Post-Apocalyptic Walking Tour,2020,secondary,image|space,Image|Space,variations-on-cranes,/images/atlas/post-apocalyptic-walking-tour-beirut-ar.webp,no,AR performance overlaying future ruins on Beirut.
30,skyline-of-insomnia,Skyline of Insomnia,2018,secondary,image|space,Image|Space,the-beirut-school,/images/atlas/skyline-insomnia-nocturnal-beirut.webp,no,Visual study of nocturnal urban density.
31,bureaucratic-surrealism,Bureaucratic Surrealism,2024,secondary,text|image,Text|Image,cartography-of-absence,/images/atlas/bureaucratic-surrealism-form-detail.webp,no,Aesthetic framework for institutional absurdity.
32,telescode,Telescode,2025,secondary,code,Code,meaning-stack,/images/atlas/telescode-code-visualization.webp,no,Code visualization and interactive mapping tool.
33,menara,MENARA,2025,secondary,space|code,Space|Code,mekena-nyc,/images/atlas/menara-generative-architectural-render.webp,no,Generative architectural visualization project.
34,itp-camp-prototypes,ITP Camp Prototypes,2024,secondary,code|sound,Code|Sound,systems-choreography,/images/atlas/itp-camp-prototypes-2024.webp,no,Experimental tech objects from NYU.
35,artistic-freedom-initiative,Artistic Freedom Initiative,2023,secondary,systems|text,Systems|Text,cost-of-being-queer-and-arab,/images/atlas/artistic-freedom-archive-of-bans-censorship.webp,no,Campaigns for human rights and creative liberty.
36,souad,Souad,2014,secondary,text|image,Text|Image,sometimes-i-wake-up-elsewhere|nowhere-elsewhere,/images/atlas/souad-family-archive-installation.webp,no,Installation and novella exploring family archive.
37,the-beirut-school,The Beirut School,2019,secondary,sound|image,Sound|Image,mashrou-leila,/images/atlas/the-beirut-school-anthology.webp,no,Anthology project and performance cycle.
38,material-for-a-novel,Material for a Novel,2014,secondary,image|text,Image|Text,sophies-world,/images/atlas/material-for-a-novel-video-still.webp,no,Video essay on tragic endings and memory.
39,hah-was,HAH-WAS,2026,secondary,code|systems|text,Code|Systems|Text,localization-gap,/images/atlas/hah-was-hallucination-detection-ui.webp,yes,HAH-WAS is one of the clearest statements in the portfolio that cultural erasure in AI is not accidental noise but a measurable consequence of training assumptions.
40,plot-1063-tower,Plot #1063 Tower,2010,secondary,space,Space,plot-house,/images/atlas/plot-1063-tower-beirut.webp,no,Architectural high-rise in Beirut (DW5).
41,2006-reconstruction,2006 Reconstruction,2006,secondary,space|systems,Space|Systems,aub-architecture-b-arch,/images/atlas/2006-reconstruction-south-lebanon.webp,no,Post-conflict urban mapping/planning projects.
42,new-york-voices,New York Voices,2023,secondary,sound|image,Sound|Image,,/images/atlas/new-york-voices-joes-pub.webp,no,Commissioned performance at Joe's Pub.
43,people-like-us-podcast,People Like Us Podcast,2021,secondary,sound|image,Sound|Image,mekena-nyc|new-york-voices|nyu-kevorkian-residency,/images/atlas/people-like-us-podcast-visual-identity.webp,no,Original score and visual identity for series.
44,museum-of-architecture,Museum of Architecture,2009,secondary,space,Space,fawzi-azar-award,/images/atlas/museum-of-architecture-aub-design.webp,no,Award-winning AUB design project.
45,arabic-pop-1925-2025,Arabic Pop 1925–2025,2025,secondary,sound|code,Sound|Code,tebr,/images/atlas/arabic-pop-1925-2025-archive-map.webp,no,Interactive mapping of musical evolution.
46,stage-architecture,Stage Architecture,2015–22,secondary,space|image,Space|Image,mashrou-leila,/images/atlas/stage-architecture-mashrou-tour.webp,no,Narrative scenography for global tours.
47,nowhere-elsewhere,NOWHERE/ELSEWHERE,2022,secondary,image|text,Image|Text,crane-song,/images/atlas/nowhere-elsewhere-transit-visual.webp,no,Visual media study on transit states.
48,kardia,KARDIA,2021,secondary,code|sound|systems,Code|Sound|Systems,body-maintenance-log,/images/atlas/kardia-body-signal-interface.webp,yes,Kardia extends the practice’s body-as-signal logic into wellness and therapeutic territory without losing its formal seriousness.
49,loop-corridor,Loop Corridor,2025,secondary,space|sound,Space|Sound,,/images/atlas/loop-corridor-feedback-system.webp,no,Virtual architectural space for sound.
50,3d-beat-synth,3D-BEAT-SYNTH,2025,secondary,code|sound|image,Code|Sound|Image,itp-camp-prototypes,/images/atlas/3d-beat-synth-webgl-interface.webp,yes,This is one of the most immediately legible proofs in the portfolio that technical experimentation can stay conceptually clean and experientially immediate.
51,storylines,STORYLINES,2024,secondary,code|text|image,Code|Text|Image,the-labyrinth,/images/atlas/storylines-graph-interface.webp,yes,"STORYLINES shows how abstract ideas can be translated into a working relational interface that remains legible, surprising, and technically credible."
52,architectures-of-belonging,Architectures of Belonging,2021,secondary,space|text,Space|Text,nyu-kevorkian-residency,/images/atlas/architectures-of-belonging-cohesion-model.webp,no,Research on spatial agency and identity.
53,the-codex-project,The Codex Project,2025,secondary,code|image,Code|Image,meaning-stack,/images/atlas/derive-negentropic-sorted-blocks-grid.webp,no,Visualizing hidden metadata in archives.
54,speculative-narrative-design,Speculative Narrative Design,2025,secondary,text|space,Text|Space,fictive-environments,/images/atlas/speculative-narrative-design-workshop.webp,no,Future-casting workshop materials.
55,autopsy-beirut-phantom,THE AUTOPSY / BEIRUT PHANTOM,2024,secondary,space|image|systems,Space|Image|Systems,the-labyrinth,/images/atlas/autopsy-beirut-phantom-spatial-media.webp,yes,"This is the spatial media branch of the same low-resolution, fragment-aware logic running through the rest of the practice."
56,archive-of-unwritten-songs,Archive of Unwritten Songs,2024,secondary,sound|code,Sound|Code,427-ai-tracks-archive,/images/atlas/archive-unwritten-songs-generative.webp,no,Generative art project on melodic loss.
57,vessel-orchestra-met,Vessel Orchestra (MET),2019,secondary,sound|space,Sound|Space,vessel-orchestra|new-york-voices,/images/atlas/vessel-orchestra-met-documentation.webp,no,Documenting the performance at the Met.
58,codeverse-explorer,CODEVERSE EXPLORER,2025,secondary,code|systems|space,Code|Systems|Space,telescode,/images/atlas/codeverse-explorer-3d-codebase.webp,yes,"Codeverse extends the exact same relational-spatial method used in STORYLINES into engineering infrastructure, which makes the practice’s cross-domain consistency obvious."
59,tuning-fork,Tuning Fork,2025,secondary,code|image,Code|Image,architecture-in-low-res,/images/atlas/tuning-fork-image-decay-software.webp,no,Image decay and visualization software.
60,heroes-of-a-transitional-time,Heroes of a Transitional Time,2012,secondary,image|systems,Image|Systems,marra-tein-residency,/images/atlas/heroes-transitional-time-exhibition.webp,no,Visual art critique on masculinity.
61,aub-architecture-b-arch,AUB Architecture (B.Arch),2004–09,secondary,space,Space,the-beirut-school|beirut-river-project|b018-nightclub,/images/atlas/aub-barch-beirut-campus.webp,no,Foundational degree and projects.
62,the-bartlett-m-arch,The Bartlett (M.Arch),2014–15,secondary,space,Space,barbican-release,/images/atlas/bartlett-march-london-thesis.webp,no,Master's research and projects.
63,marra-tein-residency,Marra.tein Residency,2012,secondary,image|space,Image|Space,heroes-of-a-transitional-time,/images/atlas/marra-tein-residency-beirut.webp,no,Art residency and exhibition in Beirut.
64,home-workspace-hwp,Home Workspace (HWP),2013,secondary,image|text,Image|Text,the-beirut-school|beirut-river-project|b018-nightclub,/images/atlas/home-workspace-ashkal-alwan.webp,no,Ashkal Alwan interdisciplinary program.
65,nyu-kevorkian-residency,NYU Kevorkian Residency,2017,secondary,image|systems,Image|Systems,mekena-nyc|new-york-voices,/images/atlas/nyu-kevorkian-great-gig-exhibition.webp,no,"Artist-in-residence and ""Great Gig"" exhibition."
66,banksy-block-9-retreat,Banksy/Block 9 Retreat,2018,secondary,image|systems,Image|Systems,mashrou-leila,/images/atlas/banksy-block9-walled-off-hotel.webp,no,Creative collaboration retreat.
67,aub-150th-documentary,AUB 150th Documentary,2016,secondary,image|sound,Image|Sound,the-beirut-school|beirut-river-project|b018-nightclub,/images/atlas/aub-150th-documentary-production.webp,no,Visual/Music collaboration for anniversary.
68,the-great-gig-in-the-sky,The Great Gig in the Sky,2017,secondary,image|systems,Image|Systems,nyu-kevorkian-residency,/images/atlas/great-gig-sky-nyu-exhibition.webp,no,Exhibition at NYU Kevorkian.
69,auditions-for-a-battle,Auditions for a Battle,2013,secondary,image|systems,Image|Systems,the-beirut-school|beirut-river-project|b018-nightclub,/images/atlas/auditions-for-a-battle-performance-video.webp,no,Performance and video art piece.
70,lilly-doesnt-care-anymore,Lilly doesn’t care anymore,2008,secondary,image,Image,kaboos-kaleidoscope,/images/atlas/lilly-doesnt-care-2d-animation.webp,no,Early 2D stop-motion experiment.
71,material-for-a-novel-research-piece,Material for a Novel (Research Piece),2014,secondary,image|text,Image|Text,sophies-world,/images/atlas/material-for-a-novel-research-still.webp,no,Video essay/Research piece.
72,post-conflict-urbanism,Post-Conflict Urbanism,2006,secondary,space|systems,Space|Systems,aub-architecture-b-arch,/images/atlas/post-conflict-urbanism-south-lebanon.webp,no,Research and mapping in South Lebanon.
73,fasateen-mv,Fasateen (MV),2010,archive,image|sound,Image|Sound,,/images/atlas/fasateen-music-video-still.webp,no,Breakthrough music video.
74,raksit-leila-mv,Raksit Leila (MV),2010,archive,image|sound,Image|Sound,,/images/atlas/raksit-leila-video-still.webp,no,Iconic music video/performance.
75,exit-festival,Exit Festival,2011,archive,sound,Sound,,/images/atlas/exit-festival-serbia-2011.webp,no,Performance in Serbia.
76,npr-tiny-desk,NPR Tiny Desk,2016,archive,sound|systems,Sound|Systems,,/images/atlas/npr-tiny-desk-mashrou-leila.webp,no,Global breakout performance.
77,roman-video,ROMAN,2017,archive,image|sound,Image|Sound,,/images/atlas/roman-music-video-still.webp,no,"Roman became the anchor image for the band's late visual era, and serves here as the doorway into the broader music video archive."
78,greenpeace-campaign,Greenpeace Campaign,2014,archive,systems,Systems,,/images/atlas/greenpeace-campaign-renewable-energy.webp,no,Renewable energy awareness.
79,body-maintenance-log,Body Maintenance Log,2021,archive,text|systems,Text|Systems,,/images/atlas/body-maintenance-log-document-art.webp,no,Document art on visa/health.
80,project-zero,Project Zero,2026,archive,systems|code,Systems|Code,,/images/atlas/project-zero-civic-protocol.webp,no,Civic protocol concept for stillness.
81,the-mirage-room,The Mirage Room,2012,archive,space|image,Space|Image,,/images/atlas/the-mirage-room-optical-installation.webp,no,Optical illusion installation.
82,bourj-hammoud-thesis,Bourj Hammoud Thesis,2009,archive,space|text,Space|Text,,/images/atlas/bourj-hammoud-urban-thesis.webp,no,Urban research/Architectural thesis.
83,map-of-the-wound,Map of the Wound,2024,archive,text|image,Text|Image,,/images/atlas/map-of-the-wound-literary-visual.webp,no,Composite literary/visual work.
84,ants-design-store,Ants Design Store,2011,archive,space,Space,,/images/atlas/ants-design-store-interior.webp,no,Commercial interior in Beirut/Yerevan.
85,hercules-and-love-affair,Hercules & Love Affair,2017,archive,sound,Sound,,/images/atlas/hercules-love-affair-are-you-still-certain.webp,no,"Collaboration: ""Are You Still Certain?""."
86,roisin-murphy,Roisin Murphy,2018,archive,sound,Sound,,/images/atlas/roisin-murphy-salam-banksy.webp,no,"Collaboration: ""Salam""."
87,lost-souls-of-saturn,Lost Souls of Saturn,2019,archive,sound,Sound,,/images/atlas/lost-souls-saturn-bint-el-khandaq.webp,no,"Collaboration: ""Bint el Khandaq""."
88,mika-collaboration,Mika Collaboration,2020,archive,sound,Sound,,/images/atlas/mika-promiseland-sursock-palace.webp,no,"Collaboration: ""Promiseland""."
89,the-narcycist,The Narcycist,2018,archive,sound,Sound,,/images/atlas/narcycist-time-collaboration.webp,no,"Collaboration: ""Time""."
90,cavalry-mv,Cavalry (MV),2019,archive,image|systems,Image|Systems,,/images/atlas/cavalry-music-video-militarized.webp,no,Music video on militarized space.
91,radio-romance-mv,Radio Romance (MV),2019,archive,image,Image,,/images/atlas/radio-romance-narrative-video.webp,no,Narrative music video.
92,aoede-mv,Aoede (MV),2016,archive,image,Image,,/images/atlas/aoede-experimental-video.webp,no,Experimental visual video.
93,3-minutes-mv,3 Minutes (MV),2015,archive,image,Image,,/images/atlas/3-minutes-fan-collaborated-video.webp,no,Fan-collaborated video.
94,lil-watan-mv,Lil Watan (MV),2013,archive,image|systems,Image|Systems,,/images/atlas/lil-watan-political-satire-video.webp,no,Political satire music video.
95,the-waiting-room,The Waiting Room,2010,archive,space,Space,,/images/atlas/the-waiting-room-installation.webp,no,Early architectural installation.
96,1000-strings-at-rest,1000 STRINGS AT REST,2022,archive,sound|space|image,Sound|Space|Image,,/images/atlas/1000-strings-at-rest-installation.webp,yes,"Even as an archive entry, this work carries a lot of emotional and methodological weight because it bridges Mashrou’ Leila, STTM, and DERIVE so clearly."
97,galaxy-birds,Galaxy Birds,2024,archive,code|image,Code|Image,,/images/atlas/galaxy-birds-generative-art.webp,no,Digital/Generative art piece.
98,photon-plus,PHOTON+,2025,archive,code|sound|image,Code|Sound|Image,,/images/atlas/photon-plus-optical-sequencer.webp,yes,photon+ is one of the most elegant examples in the portfolio of architectural logic being directly translated into an instrument.
99,derive,DERIVE,2024,archive,code|systems|sound,Code|Systems|Sound,,/images/atlas/derive-memory-navigation-system.webp,yes,"DERIVE models memory as emotional adjacency instead of chronology, turning fragmented archives into a navigable, performable system."
100,mobius-engine,Möbius Engine,2025,archive,code,Code,,/images/atlas/mobius-engine-binary-data-topology.webp,no,Logic/Code prototype.
101,resonance-atlas,RESONANCE ATLAS,2024,archive,systems|sound|text,Systems|Sound|Text,,/images/atlas/resonance-atlas-spatial-sound-map.webp,yes,"Resonance Atlas names the broader field that several projects are already operating within, which gives the research a cumulative rather than scattered presence."
102,ghost-city,Ghost City,2020,archive,image|code,Image|Code,,/images/atlas/cartography-of-absence-data-void-absence-index.webp,no,Data-driven visual piece.
103,nebucat,Nebucat,2020,archive,text,Text,,/images/atlas/sparrowos-pixel-eye-icon.webp,no,Conceptual avatar/character.
104,non-linear-time,Non-Linear Time,2025,archive,code|image,Code|Image,,/images/atlas/navigating-latency-temporal-routing.webp,no,Visual/Logic experiment.
105,the-archive,The Archive,2025,archive,text|code,Text|Code,,/images/atlas/derive-entropy-reducing-structure-emerging.webp,no,Meta-project on documentation.
106,architecting-the-liminal,Architecting the Liminal,2025,archive,space|text,Space|Text,,/images/atlas/derive-boids-vector-flow-field.webp,no,Spatial research paper.
107,401-songs-database,401 Songs Database,2025,archive,code|sound,Code|Sound,,/images/atlas/localization-gap-batch-processing-yield-terminal.webp,no,Technical music archive.
108,louvre-abu-dhabi,Louvre Abu Dhabi,2008,archive,space,Space,,/images/atlas/louvre-abu-dhabi-jean-nouvel-internship.webp,no,Internship and architectural research.
109,colors-baby,Colors Baby,2024,archive,image|code,Image|Code,,/images/atlas/colors-baby-ai-music-video.webp,no,AI visual study.
110,maqamai,MAQAMAI,2025,archive,code|sound|text,Code|Sound|Text,,/images/atlas/maqamai-maqam-ai-interface.webp,yes,MaqamAI fills the human infrastructure gap between recognizing model failure and being able to hear what is missing in the first place.
111,house-ii-skin,House II: Skin,2009,archive,space,Space,,/images/atlas/house-ii-skin-architectural-model.webp,no,Architectural installation/model.
112,the-forgery,The Forgery,2024,archive,text|code,Text|Code,,/images/atlas/mobius-engine-system-flowchart.webp,no,Narrative/Code concept.
113,projectarium-ai,Projectarium AI,2025,archive,code,Code,,/images/atlas/projectarium-ai-speculative-forms-grid.webp,no,AI tool for project management.
114,beirut-river-project,Beirut River Project,2009,archive,space,Space,,/images/atlas/beirut-river-project-map.webp,no,Urban revitalization design.
115,opera-house-design,Opera House Design,2008,archive,space,Space,,/images/atlas/opera-house-design-aub-project.webp,no,Large scale architectural design.
116,barbican-release,Barbican Release,2015,archive,sound,Sound,,/images/atlas/barbican-release-london-performance.webp,no,Major performance event London.
117,shim-el-yasmeen,Shim El Yasmeen,2009,archive,sound,Sound,,/images/atlas/shim-el-yasmeen-foundation-song.webp,no,Foundation song/Project.
118,walaw-manifesto,Walaw Manifesto,2021,archive,text,Text,,/images/atlas/walaw-manifesto-origin-text.webp,no,The origin text of Walaw Studio.
119,the-beirut-school-album,The Beirut School (Album),2019,archive,sound,Sound,,/images/atlas/the-beirut-school-album-cover.webp,no,Final anthology album.
