order,id,name,name_change_note,action,year,tier,suggested_image_filename,current_image_path,summary,domains,stack,connections,notes
93,the-mirage-room,THE MIRAGE ROOM,,keep,2012,archive,the-mirage-room-optical-installation.jpg,images/atlas/the-mirage-room-optical-installation.webp,"Optical illusion installation produced during the Bartlett/early London years — a room designed to produce spatial disorientation, where surfaces that appear solid are reflective and distances are systematically misread.",space|image,Installation|Optical Art|Spatial Design,architecture-in-low-res,"Image: an installation photograph — the optical effect visible, the spatial disorientation palpable."
94,lava-object,LAVA OBJECT,,remove,2010,archive,lava-object-industrial-design.jpg,,"Industrial design piece — an object that references volcanic form and material weight. One of the few industrial design works in the archive, produced during the DW5 period in Beirut.",space,Industrial Design|Object Design,plot-house,"Image: the object itself, photographed as a product — dark material, sculptural. Removed from atlas per review."
95,phil-and-joe-barbershop,PHIL & JOE BARBERSHOP,,keep,2011,archive,phil-joe-barbershop-interior.jpg,,"Interior design for a Beirut barbershop — a commercial interior project at the intersection of craft, cultural space, and everyday architecture. One of the few projects in the archive that is unambiguously domestic and local in scale.",space,Interior Design|Commercial|Beirut,plot-house|b018-nightclub,"Image: the interior of the barbershop — warm, craft-forward, Beirut neighborhood scale."
96,cerf-volant,CERF VOLANT,,remove,2012,archive,cerf-volant-lighting-installation.jpg,,"Lighting installation — Cerf Volant means kite in French. A light object that takes flight, literally or in spatial metaphor. An early experiment in atmospheric and environmental design.",space,Lighting Design|Installation,plot-house,"Image: the installation lit — light quality, space transformed. Removed from atlas per review."
97,bourj-hammoud-thesis,BOURJ HAMMOUD THESIS,,keep,2009,archive,bourj-hammoud-urban-thesis.jpg,images/atlas/bourj-hammoud-urban-thesis.webp,"AUB undergraduate thesis on Bourj Hammoud — the Armenian-Lebanese quarter of Beirut, one of the most densely layered urban environments in the Arab world. Urban research at the intersection of heritage, density, and diaspora identity.",space|text,Urban Research|Architectural Thesis|Armenian Heritage,aub-architecture-b-arch|2006-reconstruction,"Image: a map of Bourj Hammoud, or a photograph of the neighborhood — dense, layered, Armenian street signage visible."
98,map-of-the-wound,MAP OF THE WOUND,,keep,2024,archive,map-of-the-wound-literary-visual.jpg,images/atlas/map-of-the-wound-literary-visual.webp,"Composite literary and visual work — a map drawn in the shape of a wound, or a wound described with the precision of a map. Documentation of a specific kind of damage that has both geographic and somatic coordinates.",text|image,Literary Work|Visual Art|Composite,cartography-of-absence|nowhere-elsewhere,"Image: a detail of the map — hand-drawn, anatomical precision applied to geographic form."
99,ants-design-store,ANTS DESIGN STORE,,keep,2011,archive,ants-design-store-interior.jpg,images/atlas/ants-design-store-interior.webp,"Commercial interior for a design store in Beirut and Yerevan — a retail environment for design objects, spanning Lebanese and Armenian contexts. One of the few projects that literally bridges the two cities that anchor Haig's identity.",space,Interior Design|Commercial|Retail,plot-house|phil-and-joe-barbershop,"Image: the store interior — objects on display, clean retail design, Beirut or Yerevan context."
100,skoun-concert,SKOUN CONCERT,,keep,2018,archive,skoun-concert-mental-health.jpg,,"Mental health awareness concert — Mashrou' Leila in partnership with Skoun, Lebanon's first drug treatment and harm reduction center. The band's platform used for a conversation about mental health in a cultural context where that conversation was rare.",systems|sound,Advocacy|Mental Health|Concert,mashrou-leila|beirut-blast-relief,"Image: a concert still or campaign visual — warm, advocacy-forward."
101,marsa-clinic-event,MARSA CLINIC EVENT,,keep,2017,archive,marsa-clinic-sexual-health-event.jpg,,"Sexual health awareness event with Marsa, Lebanon's only sexual health clinic for at-risk populations. The band's platform in service of public health advocacy in a country without formal LGBTQ+ recognition.",systems|sound,Advocacy|Sexual Health|Public Health,mashrou-leila|artistic-freedom-initiative,"Image: an event visual or poster — clinical clarity, warm accessibility."
102,sawa-aid-concert,SAWA AID CONCERT,,keep,2016,archive,sawa-aid-concert-refugees.jpg,,Syrian refugee fundraising concert — Mashrou' Leila mobilizing cultural platform for humanitarian response to the Syrian displacement crisis at its peak.,systems|sound,Humanitarian|Fundraising|Concert,mashrou-leila|beirut-blast-relief,"Image: a concert still or campaign poster — humanitarian urgency, cultural warmth."
103,seal-concert,SEAL CONCERT,,keep,2017,archive,seal-concert-economic-action.jpg,,SEAL (Secular Arab Artists for Lebanon) concert — a coalition performance for economic reform and anti-corruption advocacy in Lebanon. The band as political actor in the most direct sense: using concert infrastructure for civic pressure.,systems|sound,Advocacy|Economic Reform|Coalition,mashrou-leila|artistic-freedom-initiative,Image: a concert still or SEAL coalition visual.
104,toronto-pride,TORONTO PRIDE,,keep,2016,archive,toronto-pride-performance.jpg,,"Performance at Toronto Pride — one of the world's largest Pride celebrations, marking the band's explicit alignment with LGBTQ+ advocacy on the global stage and in the diaspora.",systems|sound,LGBTQ+ Advocacy|Performance|Diaspora,mashrou-leila|cost-of-being-queer-and-arab,"Image: a Pride performance still — rainbow flags, crowd, stage."
105,oslo-world,OSLO WORLD,,keep,2016,archive,oslo-world-festival-performance.jpg,,"Performance at the Oslo World music festival in Norway — a curated international music festival specifically focused on global and non-Western music, an institutional validation of the band's positioning.",sound,Live Performance|Festival,,Image: a stage shot from Oslo World — intimate festival scale.
106,lowlands-festival,LOWLANDS FESTIVAL,,keep,2019,archive,lowlands-festival-netherlands.jpg,,"Performance at the Lowlands Festival in the Netherlands — one of Europe's major multi-day festivals, the band playing to an audience with no existing knowledge of Arabic-language rock.",sound,Live Performance|Festival,,"Image: a stage shot from Lowlands — festival scale, crowd visible."
107,hercules-and-love-affair,HERCULES & LOVE AFFAIR,,keep,2017,archive,hercules-love-affair-are-you-still-certain.jpg,,Collaboration: 'Are You Still Certain?' — Mashrou' Leila featured on the Hercules & Love Affair album Omnion. A convergence of the band's Arabic-language queer politics and the New York house music tradition.,sound,Collaboration|Electronic Music|Queer Music,mashrou-leila,"Image: the Omnion album cover, or a performance still of the collaboration."
108,roisin-murphy,ROISIN MURPHY,,keep,2018,archive,roisin-murphy-salam-banksy.jpg,,"Collaboration: 'Salam' — recorded at Banksy's Walled Off Hotel in Palestine. Roisin Murphy and Mashrou' Leila in a politically charged site, making a song about peace in the most ironic location possible.",sound,Collaboration|Political Music|Banksy,mashrou-leila|banksy-block-9-retreat,Image: a still from the Salam recording session at the Walled Off Hotel.
109,lost-souls-of-saturn,LOST SOULS OF SATURN,,keep,2019,archive,lost-souls-saturn-bint-el-khandaq.jpg,,"Collaboration: 'Bint el Khandaq' — Mashrou' Leila featured on the Lost Souls of Saturn project by Seth Troxler and Phil Moffa. The band's voice in an electronic music context, stripping the arrangement back to the essential.",sound,Collaboration|Electronic Music,mashrou-leila,"Image: the Lost Souls of Saturn release artwork, or a DJ performance still."
110,mika-collaboration,MIKA COLLABORATION,,keep,2020,archive,mika-promiseland-sursock-palace.jpg,images/atlas/mika-promiseland-sursock-palace.webp,"Collaboration: 'Promiseland' — performed at the I Love Beirut benefit concert in the ruins of the Sursock Palace after the August 2020 explosion. Mika and Mashrou' Leila in the rubble of one of Beirut's most iconic heritage buildings, singing about a promised land.",sound,Collaboration|Humanitarian|Benefit Concert,mashrou-leila|beirut-blast-relief,"Image: the Sursock Palace performance still — the ruined palace, the performers, the emotional weight of the site."
111,the-narcycist,THE NARCYCIST,,keep,2018,archive,narcycist-time-collaboration.jpg,,"Collaboration: 'Time' — with The Narcycist (Yassin Alsalman), the Iraqi-Canadian rapper and poet. A convergence of Arabic diaspora musical traditions across different geographic and stylistic registers.",sound,Collaboration|Hip-Hop|Arabic Diaspora,mashrou-leila,Image: a studio or performance still from the collaboration.
112,cavalry-mv,CAVALRY (MV),,keep,2019,archive,cavalry-music-video-militarized.jpg,images/atlas/cavalry-music-video-militarized.webp,"Music video on militarized space — Cavalry as a visual argument about the aestheticization of military presence in public life, with the band occupying and reclaiming militarized visual grammar.",image|systems,Music Video|Political Imagery|Creative Direction,mashrou-leila,"Image: the most striking still from the Cavalry video — the militarized aesthetic, reclaimed."
113,radio-romance-mv,RADIO ROMANCE (MV),,keep,2019,archive,radio-romance-narrative-video.jpg,images/atlas/radio-romance-narrative-video.webp,Narrative music video — Radio Romance as a story told in the specific emotional register of late-night radio and the kind of love that only exists in that frequency.,image,Music Video|Narrative,mashrou-leila,"Image: a still from the Radio Romance video — warm, nocturnal, narrative quality."
114,aoede-mv,AOEDE (MV),,keep,2016,archive,aoede-experimental-video.jpg,,"Experimental visual video — Aoede, the muse of song, rendered in an experimental visual language that departs from the band's usual aesthetic. A more abstract, image-driven approach.",image,Music Video|Experimental|Visual Art,mashrou-leila,"Image: a still from the Aoede video — abstract, experimental, the most visually unexpected frame."
115,3-minutes-mv,3 MINUTES (MV),,keep,2015,archive,3-minutes-fan-collaborated-video.jpg,images/atlas/3-minutes-fan-collaborated-video.webp,"Fan-collaborated video — 3 Minutes was built from footage submitted by fans across MENA, making the audience the image-makers. The most participatory and distributed visual work in the Mashrou' archive.",image,Music Video|Fan Participation|Collaborative,mashrou-leila,"Image: a still from the fan video — assembled, participatory, multiple sources visible in the aesthetic."
116,lil-watan-mv,LIL WATAN (MV),,keep,2013,archive,lil-watan-political-satire-video.jpg,images/atlas/lil-watan-political-satire-video.webp,"Political satire music video — Lil Watan (For the Homeland) is the band's sharpest political satire, a video that treats Lebanese political culture with the precision of a surgical instrument and the timing of a joke.",image|systems,Music Video|Political Satire|Creative Direction,mashrou-leila,Image: the most satirically charged still from the Lil Watan video.
117,the-waiting-room,THE WAITING ROOM,,keep,2010,archive,the-waiting-room-installation.jpg,images/atlas/the-waiting-room-installation.webp,"Early architectural installation — the waiting room as spatial condition, as political state, as the universal experience of institutional suspension. Bureaucratic surrealism as spatial practice, before it had a name.",space,Installation|Spatial Design|Early Work,cartography-of-absence|b018-nightclub,"Image: the installation — a waiting room rendered uncanny, chairs and light and the specific quality of bureaucratic time."
118,1000-strings-at-rest,1000 STRINGS AT REST,,keep,2022,archive,1000-strings-at-rest-installation.jpg,images/atlas/1000-strings-at-rest-installation.webp,"Multimedia performance and installation — 1000 strings, each at rest, each holding the potential of a sound that has not yet been made. A work that bridges Mashrou' Leila, the Space Time Tuning Machine, and DERIVE: the archive of the not-yet-played. Subtractive composition at its most literal.",sound|space|image,Installation|Sound Art|Multimedia Performance,space-time-tuning-machine|derive,Replace current image (Ibn El Leil album cover) with an installation photograph of the strings-at-rest work.
119,galaxy-birds,GALAXY BIRDS,,keep,2024,archive,galaxy-birds-generative-art.jpg,images/atlas/galaxy-birds-generative-art.webp,"Digital and generative art piece — birds rendered in generative code, forming constellations and dispersing. The bird as unit of both natural system and computational system, migrating through algorithmic space.",code|image,Generative Art|Creative Coding|WebGL,derive|resonance-atlas,"Image: a frame from the generative piece — birds as particles or nodes, constellation-forming, black bg."
120,photon-plus,PHOTON+,,keep,2025,archive,photon-plus-optical-sequencer.jpg,images/atlas/photon-plus-optical-sequencer.webp,"Optical sequencer — light as both signal and score. Photon+ translates architectural logic (rhythm, interval, proportion) directly into an electronic instrument: the building plan becomes the step sequencer. One of the most elegant examples of architectural thinking translated into an instrument.",code|sound|image,Creative Coding|Hardware|Sequencer,3d-beat-synth|meaning-stack,Keep current image if it shows the interface clearly. Strong visual.
121,derive,DERIVE,,keep,2024,archive,derive-memory-navigation-system.jpg,images/atlas/derive-negentropic-machine-noise-order.webp,"Memory as emotional adjacency rather than chronology — DERIVE (from the Situationist dérive) turns fragmented archives into a navigable, performable system. You don't search the archive by date or keyword; you drift through it by association, following the emotional logic of connection rather than the administrative logic of filing.",code|systems|sound,Creative Coding|Graph Systems|Memory Architecture,space-time-tuning-machine|meaning-stack|resonance-atlas,Keep current image — strong visual of the navigation system.
122,mobius-engine,MÖBIUS ENGINE,,keep,2025,archive,mobius-engine-logic-prototype.jpg,images/atlas/mobius-engine-binary-data-topology.webp,"Logic and code prototype — a computational system that has no inside or outside, where input and output occupy the same surface. A thought experiment about feedback, recursion, and the systems that contain themselves.",code,Creative Coding|Logic|Prototype,meaning-stack,"Image: a visualization of the Möbius topology in code — a rendered surface, or a diagram of the recursive logic."
123,resonance-atlas,RESONANCE ATLAS,,keep,2024,archive,resonance-atlas-spatial-sound-map.jpg,images/atlas/resonance-atlas-spatial-sound-map.webp,"Spatial sound map — the atlas that names the broader field that several projects are already operating within. Sound positioned in geographic and emotional space, the connections between tracks made navigable. The research archive as a terrain you can walk through.",systems|sound|text,Spatial Audio|Data Visualization|Sound Mapping,derive|427-ai-tracks-archive,Replace current image (portfolio-tracks) with a spatial map visualization — geographic or emotional terrain with sound nodes marked.
124,ghost-city,GHOST CITY,,keep,2020,archive,ghost-city-beirut-data-sculpture.jpg,images/atlas/cartography-of-absence-data-void-absence-index.webp,"Data-driven visual piece — Beirut rendered in negative space, the city as an absence defined by the data of what was there. A ghost city: the data that survives after the physical city is damaged, destroyed, or inaccessible.",image|code,Data Visualization|Generative Art|Urban Data,post-apocalyptic-walking-tour|cartography-of-absence,"Image: the data visualization — Beirut in negative space, the ghost of the city visible in the data patterns."
125,beau-and-griffin,BEAU & GRIFFIN,,keep,2024,archive,beau-and-griffin-cats-dachshund.jpg,,"Personal documentation — Beau (cat) and Griffin (dachshund), recurring presences in the creative work and daily life. The non-human companions who appear in the autofiction, the apartment, and the background of every working photograph. Not a project exactly, but a node in the constellation that anchors everything else in the ordinary.",image,Personal Documentation|Daily Life,sometimes-i-wake-up-elsewhere,"Image: a photograph of Beau and Griffin together — warm, intimate, domestic."
126,nebucat,NEBUCAT,,keep,2020,archive,nebucat-conceptual-avatar.jpg,images/atlas/sparrowos-pixel-eye-icon.webp,"Conceptual avatar and character — a cat rendered as nebula, or a nebula that is recognizably a cat. An early experiment in character design at the intersection of the personal (Beau) and the astronomical (the constellation system of the portfolio itself).",text,Character Design|Concept Art|Avatar,beau-and-griffin,"Image: the Nebucat illustration or render — nebular, feline, conceptual."
127,non-linear-time,NON-LINEAR TIME,,keep,2025,archive,non-linear-time-visual-experiment.jpg,images/atlas/navigating-latency-temporal-routing.webp,Visual and logic experiment — time rendered as a spatial problem rather than a sequential one. Moments positioned by emotional proximity rather than chronological order. The technical argument for how the DERIVE system and the autofiction manuscripts handle time.,code|image,Creative Coding|Temporal Visualization,derive|sometimes-i-wake-up-elsewhere,"Image: a visualization of non-linear time — moments as nodes in a spatial arrangement, connections drawn by proximity rather than sequence."
128,the-archive,THE ARCHIVE,,keep,2025,archive,the-archive-meta-documentation.jpg,images/atlas/derive-entropy-reducing-structure-emerging.webp,"Meta-project on documentation — the archive that documents the process of building an archive. A recursive structure: the project that contains notes on how all the other projects were assembled, preserved, and made navigable.",text|code,Documentation|Meta-Archive|Systems,meaning-stack|the-codex-project,"Image: a screenshot of the archive system itself — a database or document structure, the meta-level visible."
129,architecting-the-liminal,ARCHITECTING THE LIMINAL,,keep,2025,archive,architecting-the-liminal-research-paper.jpg,images/atlas/derive-boids-vector-flow-field.webp,"Spatial research paper on liminal spaces — the threshold, the corridor, the space between states. The theoretical text that sits behind MEKENA NYC, the Loop Corridor, and the entire practice of designing for transition rather than arrival.",space|text,Spatial Theory|Research|Academic Writing,mekena-nyc|loop-corridor,"Image: the paper itself, or a diagram of liminal space — the threshold as spatial condition."
130,401-songs-database,401 SONGS DATABASE,,keep,2025,archive,401-songs-database-taxonomy.jpg,images/atlas/localization-gap-batch-processing-yield-terminal.webp,"Technical music archive — 401 AI-assisted tracks organized in a Notion/Excel taxonomy covering emotional arc, arousal, motifs, themes, and valence. The technical complement to the 427 AI Tracks Archive: where that is the research body, this is the production database.",code|sound,Database|Music Archive|Taxonomy,427-ai-tracks-archive|tebr,"Image: a screenshot of the database — the taxonomy structure visible, tracks organized by emotional arc."
131,louvre-abu-dhabi,LOUVRE ABU DHABI,,keep,2008,archive,louvre-abu-dhabi-jean-nouvel-internship.jpg,images/atlas/louvre-abu-dhabi-jean-nouvel-internship.webp,"Internship and architectural research at Ateliers Jean Nouvel, contributing to the Louvre Abu Dhabi project — one of the most significant architectural commissions of the 21st century. The building that applied Islamic geometric principles to a contemporary museum program.",space,Architecture|Jean Nouvel|Internship,aub-architecture-b-arch,"Image: the Louvre Abu Dhabi under construction or completed — Jean Nouvel's latticed dome, light filtering through."
132,colors-baby,COLORS BABY,,keep,2024,archive,colors-baby-ai-music-video.jpg,images/atlas/colors-baby-ai-music-video.webp,"AI-generated music video — a systematic study in AI video generation aesthetics, temporal coherence, and the gap between prompt and image. Produced using Suno, Sora, Kling, Veo, and Minimax. The production experiment that preceded the 1001 Nights Film.",image|code,AI Video|Suno|Sora|Kling|Veo,427-ai-tracks-archive,"Image: a striking still from the Colors Baby video — generative aesthetic, color-forward, AI-visible in the texture."
133,maqamai,MAQAMAI,,keep,2025,archive,maqamai-maqam-tuning-tool.jpg,images/atlas/maqamai-arabic-music-theory-synthesizer.webp,"Maqam tuning and reference tool — filling the human infrastructure gap between recognizing model failure (the Localization Gap) and being able to hear what's missing. MAQAMAI makes Arabic maqam systems audible, navigable, and comparable: a reference instrument for the research.",code|sound|text,Music Theory|Maqam Systems|Web Tool,localization-gap|arabic-pop-1925-2025,"Image: the MAQAMAI interface — maqam scales visualized, tuning reference visible. Clean, musical, technical."
134,house-ii-skin,HOUSE II: SKIN,,keep,2009,archive,house-ii-skin-architectural-model.jpg,images/atlas/house-ii-skin-architectural-model.webp,"Architectural installation and model exploring the skin of a building as its primary medium — the building as body, with a surface that registers touch, weather, and time. An early experiment in the somatic dimension of architectural design.",space,Architectural Installation|Model|Skin|AUB,aub-architecture-b-arch,"Image: the architectural model — the skin surface, material quality, the somatic dimension visible."
135,the-forgery,THE FORGERY,,keep,2024,archive,the-forgery-narrative-code-concept.jpg,images/atlas/mobius-engine-system-flowchart.webp,"Narrative and code concept — a forgery as the most sincere form of document, a copy that reveals more about the original than the original reveals about itself. Interactive fiction about authenticity, attribution, and the institutional life of objects.",text|code,Interactive Fiction|Narrative Design,the-erasure-protocols|cartography-of-absence,"Image: a detail of a forged document — the seam where the forgery becomes visible, the almost-convincing authentication mark."
136,projectarium-ai,PROJECTARIUM AI,,keep,2025,archive,projectarium-ai-project-management.jpg,images/atlas/projectarium-ai-speculative-forms-grid.webp,AI tool for project management — an A&R agent and project tracker built on the premise that creative project management requires different logic than production management. Not deadlines and deliverables but emotional arcs and conceptual dependencies.,code,AI Tools|Project Management|Creative Workflow,meaning-stack,Image: a screenshot of the Projectarium interface — project cards with emotional arc and conceptual dependency fields visible.
137,bint-jbeil-rehab,BINT JBEIL REHABILITATION,,keep,2007,archive,bint-jbeil-heritage-reconstruction.jpg,,"Heritage reconstruction project in Bint Jbeil, South Lebanon — one of the towns most heavily damaged in the 2006 war. Architectural research and planning for the rehabilitation of heritage structures, conducted during undergraduate studies at AUB.",space,Heritage Architecture|Reconstruction|AUB,aub-architecture-b-arch|2006-reconstruction,"Image: a photograph of Bint Jbeil's heritage architecture, pre or post reconstruction — the town, the traditional building fabric."
138,beirut-river-project,BEIRUT RIVER PROJECT,,keep,2009,archive,beirut-river-urban-revitalization.jpg,images/atlas/beirut-sonic-map-audio-cartography.webp,"Urban revitalization design for the Beirut River — the neglected waterway that runs through the city as a concrete channel, historically and ecologically severed from the urban life around it. An AUB thesis project proposing a reintegration of the river into the city's spatial and ecological fabric.",space,Urban Design|Landscape|AUB,aub-architecture-b-arch|2006-reconstruction,"Image: a site map or rendering of the Beirut River project — the river visible, the urban fabric around it."
139,opera-house-design,OPERA HOUSE DESIGN,,keep,2008,archive,opera-house-design-aub-project.jpg,images/atlas/opera-house-design-aub-project.webp,Large-scale architectural design for an opera house — an AUB undergraduate project grappling with the program of cultural infrastructure in a city without one. The first experiment in designing for a public that doesn't yet have the space to become a public.,space,Architecture|Cultural Infrastructure|AUB,aub-architecture-b-arch|museum-of-architecture,"Image: the architectural design — a rendering or model of the opera house, the spatial ambition of the program visible."
140,barbican-release,BARBICAN RELEASE,,keep,2015,archive,barbican-release-london-performance.jpg,images/atlas/barbican-release-london-performance.webp,"Major performance event in London at the Barbican Centre — the release concert for Ibn El Leil, Mashrou' Leila's most internationally legible album, in one of the world's most significant arts institutions. The band at its most European-facing.",sound,Live Performance|Album Release|London,ibn-el-leil-album|the-bartlett-m-arch,"Image: a performance still from the Barbican — the hall, the stage, the audience, the scale."
141,cannes-private-party,CANNES PRIVATE PARTY,,keep,2014,archive,cannes-private-party-film-festival.jpg,,"Private performance at the Cannes Film Festival — Mashrou' Leila at the intersection of Arabic cultural production and the global film industry, performing for an audience already predisposed to the idea of Arab artistic expression.",sound,Private Performance|Film Festival|Cultural Diplomacy,mashrou-leila,"Image: a Cannes performance still or the festival context — the Palais, the Mediterranean light, the band."
142,festival-transart,FESTIVAL TRANSART,,keep,2016,archive,festival-transart-bolzano-performance.jpg,,"Performance at Festival Transart in Bolzano, Italy — a festival at the intersection of music, performance, and visual art, in a South Tyrolean city at the crossroads of Italian and German culture. Mashrou' Leila in a context defined by its own questions about identity and belonging.",sound,Live Performance|Festival|Cross-Cultural,mashrou-leila,"Image: a performance still from Bolzano — the Alpine context, the festival scale."
143,cairo-music-park,CAIRO MUSIC PARK,,keep,2017,archive,cairo-music-park-egypt-performance.jpg,,"Performance in Egypt at the Cairo Music Park — one of the band's rare performances in the Arab world's most populous country, at a moment when Egypt was both a major audience and a source of significant political risk.",sound,Live Performance|Egypt|Political Context,mashrou-leila,"Image: a performance still from Cairo — the Egyptian crowd, the scale, the political weight of the geography."
144,shim-el-yasmeen,SHIM EL YASMEEN,,keep,2009,archive,shim-el-yasmeen-foundation-song.jpg,images/atlas/shim-el-yasmeen-foundation-song.webp,"Foundation song and the beginning — Shim El Yasmeen (Smell the Jasmine) was the first song that defined what Mashrou' Leila could be: Arabic-language, queer-inflected, melodically immediate. The song before the band was a band.",sound,Song|Early Mashrou|Foundation Work,mashrou-leila|el-hal-romancy,Image: an early performance still or the self-titled EP cover — the rawness of the beginning.
145,absolut-transform,ABSOLUT TRANSFORM,,keep,2015,archive,absolut-transform-brand-collaboration.jpg,,Brand and music collaboration with Absolut Vodka's Transform Today campaign — Mashrou' Leila as one of the global artists selected for the initiative. An early instance of the band's cultural reach being leveraged by international brands.,systems|sound,Brand Collaboration|Music|Campaign,mashrou-leila,"Image: the campaign visual — Absolut aesthetic, the band's image in the campaign context."
146,walaw-manifesto,WALAW MANIFESTO,,keep,2021,archive,walaw-manifesto-origin-text.jpg,images/atlas/99-nodes-project-grid-overview-all.webp,"The origin text of Walaw Studio — the manifesto written in 2021 that named the practice and defined its terms. The و (waw) of Walaw: the Arabic letter that reads simultaneously as waveform, heartbeat spike, and hook. The document that made the studio possible by making it legible.",text,Manifesto|Studio Identity|Foundational Text,fictive-environments|systems-choreography,"Image: the Walaw Studio logo (و) large on black, or the first page of the manifesto — the name and the signal together."
147,the-beirut-school-album,THE BEIRUT SCHOOL (ALBUM),,keep,2019,archive,the-beirut-school-album-cover.jpg,images/atlas/the-beirut-school-album-cover.webp,"The final anthology album — The Beirut School as a cultural document of a specific moment in Beirut's artistic life, assembled as the city was already beginning its long descent into crisis. The album that named a practice and closed a chapter.",sound,Album|Anthology|Cultural Document,the-beirut-school|mashrou-leila,Image: the album cover — the visual identity of the Beirut School as a concept.
